# Time-averaged data for fix savg
# TimeStep v_gamma c_myP[1] c_myP[2] c_myP[4]
100 5.05e-06 40.0808 55.6844 2.18089
200 1.505e-05 49.1937 57.0511 -0.0758055
300 2.505e-05 57.6931 57.23 -2.33097
400 3.505e-05 66.0547 56.1582 -4.59646
500 4.505e-05 76.1191 56.4906 -6.89208
600 5.505e-05 86.6432 58.2077 -9.18942
700 6.505e-05 95.8884 59.0758 -11.4734
800 7.505e-05 104.788 59.1269 -13.7381
900 8.505e-05 115.604 60.2597 -16.0125
1000 9.505e-05 126.678 62.1023 -18.2928
1100 0.00010505 136.159 63.2286 -20.564
1200 0.00011505 145.003 64.1572 -22.8046
1300 0.00012505 155.598 66.1217 -25.031
1400 0.00013505 166.424 68.1046 -27.2581
1500 0.00014505 175.799 69.1941 -29.4851
1600 0.00015505 184.431 70.5598 -31.6891
1700 0.00016505 194.357 73.1591 -33.865
1800 0.00017505 204.355 75.3859 -36.0292
1900 0.00018505 213.273 76.4195 -38.1949
2000 0.00019505 221.687 77.868 -40.3533
2100 0.00020505 230.925 80.7368 -42.4857
2200 0.00021505 239.85 83.2028 -44.5966
2300 0.00022505 247.973 84.3351 -46.7013
2400 0.00023505 256.074 85.766 -48.8094
2500 0.00024505 264.759 88.5595 -50.9046
2600 0.00025505 272.683 91.0882 -52.9795
2700 0.00026505 279.823 92.4474 -55.0382
2800 0.00027505 287.399 93.9833 -57.1003
2900 0.00028505 295.586 96.5513 -59.1627
3000 0.00029505 302.737 98.8971 -61.2164
3100 0.00030505 308.935 100.454 -63.2511
3200 0.00031505 315.782 102.269 -65.2818
3300 0.00032505 323.356 104.689 -67.3177
3400 0.00033505 329.905 106.703 -69.3589
3500 0.00034505 335.375 108.292 -71.3888
3600 0.00035505 341.437 110.438 -73.4087
3700 0.00036505 348.203 112.897 -75.4296
3800 0.00037505 354.144 114.621 -77.4632
3900 0.00038505 359.109 116.079 -79.4986
4000 0.00039505 364.508 118.434 -81.5257
4100 0.00040505 370.349 121.048 -83.5474
4200 0.00041505 375.535 122.665 -85.579
4300 0.00042505 380.076 123.967 -87.6224
4400 0.00043505 385.005 126.332 -89.6661
4500 0.00044505 389.974 129.045 -91.703
4600 0.00045505 394.263 130.731 -93.7415
4700 0.00046505 398.295 132.007 -95.7927
4800 0.00047505 402.861 134.259 -97.8532
4900 0.00048505 407.137 136.885 -99.9127
5000 0.00049505 410.525 138.668 -101.968
5100 0.00050505 413.897 140.099 -104.029
5200 0.00051505 418.037 142.264 -106.102
5300 0.00052505 421.776 144.626 -108.183
5400 0.00053505 424.412 146.37 -110.26
5500 0.00054505 427.057 148.026 -112.336
5600 0.00055505 430.596 150.225 -114.418
5700 0.00056505 433.807 152.27 -116.513
5800 0.00057505 435.881 153.783 -118.611
5900 0.00058505 437.88 155.558 -120.704
6000 0.00059505 440.668 157.859 -122.796
6100 0.00060505 443.215 159.662 -124.897
6200 0.00061505 444.814 160.831 -127.007
6300 0.00062505 446.334 162.506 -129.116
6400 0.00063505 448.361 164.821 -131.217
6500 0.00064505 450.077 166.473 -133.32
6600 0.00065505 451.131 167.326 -135.431
6700 0.00066505 452.287 168.713 -137.547
6800 0.00067505 453.67 170.82 -139.656
6900 0.00068505 454.495 172.302 -141.76
7000 0.00069505 454.854 172.943 -143.866
7100 0.00070505 455.614 173.991 -145.979
7200 0.00071505 456.484 175.657 -148.09
7300 0.00072505 456.503 176.811 -150.195
7400 0.00073505 456.073 177.291 -152.295
7500 0.00074505 456.284 178.072 -154.397
7600 0.00075505 456.665 179.183 -156.502
7700 0.00076505 456.033 179.797 -158.606
7800 0.00077505 454.86 180.039 -160.7
7900 0.00078505 454.373 180.632 -162.791
8000 0.00079505 454.15 181.229 -164.884
8100 0.00080505 452.961 181.168 -166.981
8200 0.00081505 451.201 180.995 -169.071
8300 0.00082505 449.979 181.378 -171.152
8400 0.00083505 448.981 181.565 -173.231
8500 0.00084505 447.183 180.844 -175.315
8600 0.00085505 444.982 180.106 -177.397
8700 0.00086505 443.124 180.124 -179.471
8800 0.00087505 441.233 179.941 -181.537
8900 0.00088505 438.673 178.671 -183.606
9000 0.00089505 436.102 177.377 -185.675
9100 0.00090505 433.821 176.869 -187.74
9200 0.00091505 431.162 176.242 -189.797
9300 0.00092505 427.754 174.581 -191.849
9400 0.00093505 424.559 172.765 -193.902
9500 0.00094505 421.797 171.617 -195.954
9600 0.00095505 418.427 170.343 -198.001
9700 0.00096505 414.094 168.235 -200.04
9800 0.00097505 410.19 166.094 -202.076
9900 0.00098505 407.005 164.424 -204.112
10000 0.00099505 403.2 162.455 -206.148
10100 0.00100505 398.258 159.868 -208.178
10200 0.00101505 393.673 157.53 -210.201
