# Time-averaged data for fix savg
# TimeStep c_myP[1] c_myP[2] c_myP[4]
100 37.4734 55.1467 3.21583
200 41.3767 55.4339 3.03042
300 44.6853 54.5246 2.83319
400 47.8505 52.3554 2.6262
500 52.6796 51.6002 2.4131
600 58 52.2546 2.1986
700 62.0599 52.0542 1.98407
800 65.7839 51.0096 1.77365
900 71.3948 51.0529 1.56742
1000 77.2745 51.8425 1.36979
1100 81.5657 51.9226 1.18054
1200 85.2346 51.774 1.00306
1300 90.6449 52.651 0.835965
1400 96.2897 53.5796 0.682322
1500 100.476 53.638 0.540958
1600 103.925 53.9508 0.414269
1700 108.672 55.4715 0.300446
1800 113.5 56.6384 0.201077
1900 117.237 56.6437 0.114659
2000 120.458 57.0583 0.0424852
2100 124.506 58.8631 -0.0169801
2200 128.264 60.2677 -0.0634206
2300 131.222 60.3668 -0.0982886
2400 134.129 60.7706 -0.121471
2500 137.61 62.5153 -0.133979
2600 140.363 63.9911 -0.13643
2700 142.353 64.3129 -0.129929
2800 144.745 64.8161 -0.115422
2900 147.719 66.3425 -0.0934204
3000 149.687 67.6516 -0.0651363
3100 150.743 68.175 -0.0311334
3200 152.42 68.9438 0.00691951
3300 154.783 70.3161 0.0488666
3400 156.136 71.3072 0.093179
3500 156.456 71.8762 0.139879
3600 157.351 72.9635 0.187066
3700 158.914 74.3545 0.234838
3800 159.653 75.0564 0.281582
3900 159.449 75.5089 0.327761
4000 159.665 76.8013 0.371693
4100 160.306 78.3237 0.413665
4200 160.296 78.9037 0.452189
4300 159.65 79.2019 0.487878
4400 159.363 80.5066 0.519535
4500 159.119 82.1133 0.547594
4600 158.221 82.737 0.57093
4700 157.058 82.9921 0.590032
4800 156.37 84.1784 0.604269
4900 155.399 85.6954 0.614133
5000 153.597 86.3964 0.619076
5100 151.773 86.7695 0.619328
5200 150.632 87.845 0.614766
5300 149.081 89.0977 0.605804
5400 146.501 89.7546 0.592582
5500 143.941 90.316 0.575127
5600 142.185 91.3808 0.553765
5700 140.075 92.3059 0.528727
5800 136.892 92.7356 0.500779
5900 133.656 93.394 0.469885
6000 131.141 94.5138 0.436761
6100 128.356 95.1681 0.40139
6200 124.661 95.254 0.364898
6300 120.897 95.8084 0.327247
