# Time-averaged data for fix savg
# TimeStep c_myP[1] c_myP[2] c_myP[4]
100 330.521 731.817 71.9526
200 292.882 482.339 -0.0335177
300 319.847 467.589 28.6194
400 369.05 518.454 187.749
500 243.022 580.994 84.8547
600 305.703 482.366 -6.69187
700 308.544 326.061 -29.5132
800 429.167 667.451 116.766
900 319.578 492.779 11.4901
1000 207.536 548.956 -4.28018
1100 252.042 273.309 -47.0314
1200 414.915 532.378 79.2421
1300 217.454 420.252 134.716
1400 170.223 593.628 86.7875
1500 357.478 465.363 -42.1968
1600 384.01 483.98 67.3476
1700 254.314 253.575 146.19
1800 200.316 539.774 137.512
1900 405.22 552.922 25.9803
2000 483.121 428.875 47.9328
2100 302.826 317.766 93.2635
2200 243.261 406.679 128.003
2300 286.95 456.405 38.1283
2400 341.638 292.237 -25.3245
2500 511.779 325.559 51.1888
2600 347.457 494.522 30.5221
2700 386.013 560.037 99.2676
2800 305.834 304.461 -64.2286
2900 393.353 292.325 -25.825
3000 387.137 393.042 -57.7344
3100 379.65 497.477 26.4312
3200 242.53 294.143 -62.2745
3300 228.955 299.028 26.4231
3400 289.057 201.14 -15.0581
3500 233.975 384.336 34.5476
3600 169.413 287.028 19.8858
3700 218.458 382.163 35.3044
3800 457.697 220.399 2.83415
3900 198.641 358.704 75.1623
4000 126.405 115.002 67.0745
4100 112.075 355.607 39.1547
4200 492.784 147.303 19.452
4300 176.504 209.656 -2.33518
4400 124.763 151.454 74.8475
4500 53.0241 221.439 -59.8304
4600 230.002 153.153 80.7548
4700 -20.4883 -91.8709 33.7358
4800 100.537 98.3864 44.5078
4900 132.339 370.524 -23.345
5000 114.724 198.417 65.4562
5100 0.416148 -145.031 50.2889
5200 46.4115 141.674 51.5471
5300 33.5354 222.633 33.8123
5400 18.9742 224.727 31.06
5500 13.8755 -14.019 97.4206
5600 175.974 129.312 130.381
5700 105.38 111.019 95.3603
5800 -158.286 157.68 37.7989
5900 105.512 147.342 170.881
6000 263.809 317.809 60.1732
6100 334.967 274.979 147.044
6200 3.93746 295.874 35.8434
6300 286.475 304.955 109.202
6400 238.219 355.858 73.1153
6500 507.235 290.135 83.9156
6600 82.9149 304.963 -44.3933
6700 264.515 402.953 14.5901
6800 275.041 453.863 -15.4345
6900 445.938 292.681 65.8037
7000 179.097 361.597 -103.072
7100 379.219 499.912 35.5746
7200 329.809 485.12 1.33235
7300 390.642 292.642 83.5667
7400 395.285 282.232 15.9362
7500 359.348 435.452 -0.567794
7600 377.398 517.368 25.3136
7700 297.497 249.117 47.6214
7800 409.319 330.143 95.5556
7900 422.374 455.056 -43.4813
8000 441.035 531.033 35.4169
8100 215.749 198.546 20.8001
8200 448.677 301.96 4.105
8300 403.618 328.52 -48.1116
8400 381.192 476.048 10.2073
8500 213.188 200.34 -5.97829
8600 435.06 443.678 77.7123
8700 378.258 242.339 -3.13801
8800 294.998 246.227 41.4263
8900 89.0163 134.214 21.2488
9000 468.036 345.369 103.712
9100 294.702 8.81145 42.6427
9200 221.667 -20.0433 -2.95145
9300 121.205 -20.9468 24.1322
9400 369.849 230.14 58.3086
9500 312.138 56.987 156.793
9600 325.009 27.0363 88.1442
9700 206.309 64.9359 127.19
9800 306.006 112.08 115.744
9900 219.434 -61.9803 155.383
10000 186.232 -140.42 36.0147
10100 389.954 26.6897 29.8426
10200 309.199 169.163 41.003
10300 172.191 -70.8915 89.2597
10400 138.42 -185.825 62.1618
10500 371.531 59.931 -44.9001
10600 279.243 -6.59646 -1.09434
10700 203.2 -43.8939 -38.1799
10800 238.409 -82.3809 112.805
10900 382.028 23.2485 -11.3103
11000 193.046 -196.074 27.3959
11100 77.5454 -164.274 11.0194
11200 352.676 22.6758 116.965
11300 409.752 14.4363 59.4232
11400 261.532 -191.979 5.91377
11500 135.583 -147.161 -18.5582
11600 288.433 -80.6968 -7.94784
11700 277.662 -103.795 60.5771
11800 284.83 -368.962 -1.68512
11900 123.909 -111.172 -22.9494
12000 289.303 31.457 -34.5246
12100 247.388 -110.732 44.213
12200 151.25 -289.142 -55.6461
12300 135.197 -204.071 -34.8775
12400 190.965 -17.8458 -72.738
12500 50.2886 -246.763 8.43003
12600 86.1276 -311.502 -17.7344
12700 283.045 -172.843 -22.1809
12800 -6.83677 -109.712 -84.9003
12900 -64.8474 -389.942 30.7171
13000 -34.0926 -332.354 66.9598
